2021-06-05 20:02:03 start train.
2021-06-05 20:20:29 EPOCH 0 ,g_loss:-65.126220703125 d_loss:-24.36781120300293 p_loss:0.05681033805012703 gp_loss:8.170892715454102 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-05 20:39:12 EPOCH 1 ,g_loss:-95.21070098876953 d_loss:-5.56801176071167 p_loss:0.02465098910033703 gp_loss:1.0863064527511597 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-05 20:57:40 EPOCH 2 ,g_loss:-109.65165710449219 d_loss:-3.865480661392212 p_loss:0.02401532605290413 gp_loss:0.7286757230758667 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-05 21:16:07 EPOCH 3 ,g_loss:118.0320816040039 d_loss:-3.1627092361450195 p_loss:0.02285996451973915 gp_loss:0.6451319456100464 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-05 21:34:34 EPOCH 4 ,g_loss:103.73011779785156 d_loss:-3.0373048782348633 p_loss:0.02244538441300392 gp_loss:0.6425145864486694 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-05 21:53:02 EPOCH 5 ,g_loss:-118.15335845947266 d_loss:-2.6589205265045166 p_loss:0.025518134236335754 gp_loss:0.5266246795654297 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-05 22:11:44 EPOCH 6 ,g_loss:-122.1178207397461 d_loss:-2.597374439239502 p_loss:0.023921716958284378 gp_loss:0.513541042804718 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-05 22:30:10 EPOCH 7 ,g_loss:-118.89203643798828 d_loss:-2.3546411991119385 p_loss:0.024618925526738167 gp_loss:0.4455644488334656 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-05 22:48:36 EPOCH 8 ,g_loss:-136.63922119140625 d_loss:-2.2334365844726562 p_loss:0.02177680842578411 gp_loss:0.4336150884628296 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-05 23:07:01 EPOCH 9 ,g_loss:-154.12294006347656 d_loss:-2.188925266265869 p_loss:0.020050272345542908 gp_loss:0.3973598778247833 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-05 23:25:28 EPOCH 10 ,g_loss:-167.66969299316406 d_loss:-2.164729595184326 p_loss:0.017892612144351006 gp_loss:0.38567930459976196 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-05 23:44:11 EPOCH 11 ,g_loss:-172.88414001464844 d_loss:-2.057786703109741 p_loss:0.01780223473906517 gp_loss:0.3658783733844757 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 00:02:37 EPOCH 12 ,g_loss:-181.88720703125 d_loss:-1.9805985689163208 p_loss:0.0171811580657959 gp_loss:0.36780205368995667 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 00:21:01 EPOCH 13 ,g_loss:-222.6374969482422 d_loss:-1.9018276929855347 p_loss:0.01714179292321205 gp_loss:0.36380794644355774 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 00:39:24 EPOCH 14 ,g_loss:-140.9370880126953 d_loss:-1.8332501649856567 p_loss:0.015837794169783592 gp_loss:0.34192517399787903 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 00:57:48 EPOCH 15 ,g_loss:-229.7605438232422 d_loss:-1.8291367292404175 p_loss:0.01743171364068985 gp_loss:0.3339167833328247 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 01:16:31 EPOCH 16 ,g_loss:-224.0774688720703 d_loss:-1.7542483806610107 p_loss:0.016341302543878555 gp_loss:0.32540982961654663 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 01:34:53 EPOCH 17 ,g_loss:-200.66026306152344 d_loss:-1.66132652759552 p_loss:0.015208886004984379 gp_loss:0.3176763355731964 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 01:53:16 EPOCH 18 ,g_loss:-183.68283081054688 d_loss:-1.6697739362716675 p_loss:0.016519173979759216 gp_loss:0.34055307507514954 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 02:11:38 EPOCH 19 ,g_loss:-222.15379333496094 d_loss:-1.6223623752593994 p_loss:0.01591639779508114 gp_loss:0.3146354854106903 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 02:30:00 EPOCH 20 ,g_loss:-212.8980712890625 d_loss:-1.579325556755066 p_loss:0.015511429868638515 gp_loss:0.3108436167240143 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 02:48:37 EPOCH 21 ,g_loss:-250.3597869873047 d_loss:-1.579619288444519 p_loss:0.015653155744075775 gp_loss:0.31065401434898376 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 03:06:56 EPOCH 22 ,g_loss:-246.5076446533203 d_loss:-1.4890820980072021 p_loss:0.016008827835321426 gp_loss:0.29205915331840515 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 03:25:14 EPOCH 23 ,g_loss:-277.3426818847656 d_loss:-1.5244135856628418 p_loss:0.014944314025342464 gp_loss:0.26175379753112793 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 03:43:33 EPOCH 24 ,g_loss:-258.955322265625 d_loss:-1.5013471841812134 p_loss:0.014833156950771809 gp_loss:0.2614032030105591 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 04:01:52 EPOCH 25 ,g_loss:-222.92791748046875 d_loss:-1.5033798217773438 p_loss:0.014104324392974377 gp_loss:0.26108691096305847 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 04:20:27 EPOCH 26 ,g_loss:-204.21234130859375 d_loss:-1.448574423789978 p_loss:0.014102657325565815 gp_loss:0.2669098675251007 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 04:38:46 EPOCH 27 ,g_loss:-219.94017028808594 d_loss:-1.4010733366012573 p_loss:0.014727234840393066 gp_loss:0.2611085772514343 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 04:43:34 d_loss=0 here.
2021-06-06 04:57:04 EPOCH 28 ,g_loss:-198.23043823242188 d_loss:-1.3882094621658325 p_loss:0.014839079231023788 gp_loss:0.25993406772613525 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 05:15:22 EPOCH 29 ,g_loss:-212.1304168701172 d_loss:-1.3799158334732056 p_loss:0.015291102230548859 gp_loss:0.2705152630805969 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 05:23:52 d_loss=0 here.
2021-06-06 05:33:41 EPOCH 30 ,g_loss:-169.55331420898438 d_loss:-1.3154637813568115 p_loss:0.014742514118552208 gp_loss:0.24127130210399628 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 05:52:17 EPOCH 31 ,g_loss:-112.47798156738281 d_loss:-1.3163496255874634 p_loss:0.01513377483934164 gp_loss:0.239009827375412 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 06:10:36 EPOCH 32 ,g_loss:-201.11302185058594 d_loss:-1.2970976829528809 p_loss:0.014671051874756813 gp_loss:0.23164013028144836 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 06:28:54 EPOCH 33 ,g_loss:-220.7969970703125 d_loss:-1.2613059282302856 p_loss:0.013732473365962505 gp_loss:0.21542738378047943 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 06:47:12 EPOCH 34 ,g_loss:-242.1041717529297 d_loss:-1.2926169633865356 p_loss:0.013575884513556957 gp_loss:0.214854434132576 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 07:05:31 EPOCH 35 ,g_loss:-278.19757080078125 d_loss:-1.3309099674224854 p_loss:0.013619950972497463 gp_loss:0.21741236746311188 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 07:24:09 EPOCH 36 ,g_loss:-242.99017333984375 d_loss:-1.3186718225479126 p_loss:0.013201650232076645 gp_loss:0.21334894001483917 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-06 07:42:27 EPOCH 37 ,g_loss:-229.1440887451172 d_loss:-1.332590103149414 p_loss:0.012929056771099567 gp_loss:0.20041170716285706 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
